show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s7949,TV Show,The Boat,Franky Okamura,"Douglas Hodge, Akim Mogaji, Claire Higgins","Kosovo, Netherlands","July 12, 2021",2018.0,G,68 min,"Arthouse, Documentary","In Tom Hammond's stolen briefcase was a photograph of him and his son Luke, taken days before Luke was on Pan Am flight 103 to NY. Tom must find it."
s7840,TV Show,Curse of the Zodiac,Wolfgang Murnberger,"Bob Probert, Joe Kocur, Don Cherry, Tie Domi, Jeremy Roenick, Chris Chelios",,"June 20, 2021",,TV-Y,188 min,"Arts, Entertainment, and Culture","Rhythm, leading a happy life and about to have her second child, is traumatized by the nightmares in which she sees an umbrella man harming her lost son. She sets off on a dangerous journey, along with her trained dog, to unravel the secrets behind the nightmares and to protect her loved ones."
,Movie,Peg + Cat,Sai Sekhar,"Test Actor 1, Test Actor 2","United States, China",,2004.0,UNRATED,108 min,"Drama, Fantasy, Science Fiction","Nobody in Berlin's techno scene is better connected than club promoter Robert Schlag, aka Beat. In order to get to the masterminds of a criminal network, Beat is recruited by the European Secret Service. On the hunt for the masterminds behind the organized organ trafficking, the past catches up with Beat who quickly reaches his personal limits..."
s6018,TV Show,Enchantimals Spring into Harvest Hills,Klaudia Reynicke,,"China, United States, United Kingdom","June 15, 2021",,16+,83 min,"Military and War, Special Interest",Enjoy this educational and fun compilation of classic nursery rhymes with Jacus from Little Baby Bum!
s8246,Movie,Highlander: The Source,Jerry Lewis,"Prasenjit Chatterjee, Sabyasachi Chakrabarty, Rani Mukerji, Indrani Haldar",Australia,"April 24, 2021",1973.0,18+,125 min,"Adventure, Comedy, Drama","Dive beneath the sea in search of the Tulsamerican, a B-24 bomber that crashed at the height of World War II. Join a team of archaeologists on a dangerous mission to recover the fallen airmen and identify their remains."
s7723,,Vanishing on 7th Street,Andrew Wagner,Kimiko Ishizaka,"United States, Canada","July 23, 2021",1953.0,AGES_16_,49 min,"Special Interest, Sports","A floating body, a drug deal gone wrong, and two former detectives the perpetrators. Life imprisonment is the end of Roger Rogerson's story. The last Blue Murder ended with his expulsion in disgrace from the NSW Police Force. In this instalment, Rogerson struggles to make a living in a world that's rapidly changing, caught between the pressures of criminals, police and a love that might save him."
s5462,TV Show,Alison,Jeremiah McLamb,"Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Chris D'Elia, JT Neal, Stony Blyden, Peter MacNeill, RZA, Nia Long","United States, Portugal","July 12, 2021",1954.0,TV-PG,50 min,"Documentary, Military and War, Special Interest","Rainbow Ruby comes to the rescue whenever a doll friend needs help! When Choco's heart starts to glow, she knows it's time for a magical journey into Rainbow Village. With the help of her enchanted suitcase, the ""Rainbow Roller"", Rainbow Ruby takes on helping roles with enthusiasm and confidence!"
s4779,TV Show,CBGB,WJ Carter,"Jennifer Garner, Goran Visnjic, Will Yun Lee, Cary-Hiroyuki Tagawa, Terence Stamp","India, Sweden","July 27, 2021",1960.0,,71 min,"Action, Romance","Noorie (Poonam Dhillon) is a young and beautiful girl from the valleys, who along with Yusuf (Farooq Shaikh) has a simple dream of a house, family and a lovely life. But nothing is that simple in life as Noorie and Yusuf’s dreams are torn apart at the hands of a couple of village goons for whom Noorie is just a conquest. NOORIE tells a simple and touching story of Noorie and Yusuf’s fearless love."
s6235,TV Show,Resentment,Kevin Padden,"Chris Pine, Kevin Costner, Kenneth Branagh, Keira Knightly","Japan, France","June 21, 2021",1948.0,7+,128 min,"Animation, Music Videos and Concerts","A bigoted, fanatical nun comes face to face with the lives she ruined through her teachings when a quartet of her traumatized former students return to perform at her Christmas Eve church lecture."
s4175,Movie,Welcome To The Sticks,"Amin Bakhshian, Kyla Simone Bruce","Peter Dyneley, Sylvia Anderson, Shane Rimmer, Jeremy Wilkin, Matt Zimmerman, David Graham",Netherlands,"July 3, 2021",1952.0,TV-Y7,28 min,"Arthouse, Horror, Suspense",Four youngsters head out to an abandoned house to shoot a documentary. What starts off as a regular fun road trip slowly becomes a dangerously haunting experience as a series of strange and unfortunate events start happening to them.
